Dataset,Alpha,Beta,Mean,Std
Computers,0.9,0.9,88.67,0.49
Computers,0.9,1.0,88.68,0.49
Photo,0.1,0.0,93.18,0.1
Photo,0.1,0.1,93.23,0.11
Photo,0.1,0.2,93.26,0.11
Photo,0.1,0.3,93.28,0.11
Photo,0.1,0.4,93.29,0.1
Photo,0.1,0.5,93.3,0.11
Photo,0.1,0.6,93.31,0.11
Photo,0.1,0.7,93.32,0.11
Photo,0.1,0.8,93.33,0.1
Photo,0.1,0.9,93.33,0.11
Photo,0.1,1.0,93.33,0.1
Photo,0.2,0.0,93.14,0.11
Photo,0.2,0.1,93.23,0.12
Photo,0.2,0.2,93.3,0.13
Photo,0.2,0.3,93.31,0.12
Photo,0.2,0.4,93.33,0.13
Photo,0.2,0.5,93.35,0.13
Photo,0.2,0.6,93.38,0.12
Photo,0.2,0.7,93.39,0.12
Photo,0.2,0.8,93.41,0.11
Photo,0.2,0.9,93.42,0.1
Photo,0.2,1.0,93.43,0.1
Photo,0.3,0.0,93.05,0.11
Photo,0.3,0.1,93.23,0.15
Photo,0.3,0.2,93.33,0.11
Photo,0.3,0.3,93.36,0.12
Photo,0.3,0.4,93.4,0.12
Photo,0.3,0.5,93.43,0.1
Photo,0.3,0.6,93.45,0.08
Photo,0.3,0.7,93.47,0.08
Photo,0.3,0.8,93.49,0.08
Photo,0.3,0.9,93.49,0.08
Photo,0.3,1.0,93.51,0.07
Photo,0.4,0.0,92.98,0.11
Photo,0.4,0.1,93.24,0.14
Photo,0.4,0.2,93.36,0.1
Photo,0.4,0.3,93.41,0.11
Photo,0.4,0.4,93.45,0.07
Photo,0.4,0.5,93.49,0.06
Photo,0.4,0.6,93.53,0.08
Photo,0.4,0.7,93.54,0.08
Photo,0.4,0.8,93.56,0.08
Photo,0.4,0.9,93.58,0.08
Photo,0.4,1.0,93.6,0.09
Photo,0.5,0.0,92.92,0.13
Photo,0.5,0.1,93.24,0.13
Photo,0.5,0.2,93.37,0.12
Photo,0.5,0.3,93.46,0.09
Photo,0.5,0.4,93.51,0.11
Photo,0.5,0.5,93.53,0.1
Photo,0.5,0.6,93.57,0.11
Photo,0.5,0.7,93.62,0.11
Photo,0.5,0.8,93.64,0.1
Photo,0.5,0.9,93.67,0.09
Photo,0.5,1.0,93.69,0.09
Photo,0.6,0.0,92.82,0.14
Photo,0.6,0.1,93.27,0.13
Photo,0.6,0.2,93.37,0.09
Photo,0.6,0.3,93.47,0.1
Photo,0.6,0.4,93.54,0.11
Photo,0.6,0.5,93.59,0.1
Photo,0.6,0.6,93.64,0.1
Photo,0.6,0.7,93.62,0.09
Photo,0.6,0.8,93.63,0.09
Photo,0.6,0.9,93.65,0.11
Photo,0.6,1.0,93.65,0.09
Photo,0.7,0.0,92.71,0.14
Photo,0.7,0.1,93.21,0.12
Photo,0.7,0.2,93.34,0.09
Photo,0.7,0.3,93.45,0.12
Photo,0.7,0.4,93.49,0.12
Photo,0.7,0.5,93.48,0.12
Photo,0.7,0.6,93.47,0.1
Photo,0.7,0.7,93.47,0.1
Photo,0.7,0.8,93.5,0.1
Photo,0.7,0.9,93.5,0.09
Photo,0.7,1.0,93.51,0.07
Photo,0.8,0.0,92.5,0.12
Photo,0.8,0.1,93.16,0.11
Photo,0.8,0.2,93.32,0.11
Photo,0.8,0.3,93.3,0.1
Photo,0.8,0.4,93.31,0.09
Photo,0.8,0.5,93.3,0.09
Photo,0.8,0.6,93.31,0.09
Photo,0.8,0.7,93.32,0.09
Photo,0.8,0.8,93.35,0.1
Photo,0.8,0.9,93.34,0.11
Photo,0.8,1.0,93.33,0.1
Photo,0.9,0.0,92.37,0.14
Photo,0.9,0.1,93.02,0.12
Photo,0.9,0.2,93.11,0.09
Photo,0.9,0.3,93.09,0.11
Photo,0.9,0.4,93.09,0.08
Photo,0.9,0.5,93.1,0.1
Photo,0.9,0.6,93.12,0.12
Photo,0.9,0.7,93.11,0.11
Photo,0.9,0.8,93.14,0.12
Photo,0.9,0.9,93.1,0.11
Photo,0.9,1.0,93.07,0.11
CS,0.1,0.0,92.46,0.04
CS,0.1,0.1,93.42,0.04
CS,0.1,0.2,93.87,0.03
CS,0.1,0.3,94.11,0.06
CS,0.1,0.4,94.23,0.06
CS,0.1,0.5,94.28,0.06
CS,0.1,0.6,94.27,0.05
CS,0.1,0.7,94.28,0.06
CS,0.1,0.8,94.29,0.06
CS,0.1,0.9,94.27,0.06
CS,0.1,1.0,94.26,0.07
CS,0.2,0.0,91.91,0.05
CS,0.2,0.1,93.75,0.06
CS,0.2,0.2,94.07,0.06
CS,0.2,0.3,94.08,0.04
CS,0.2,0.4,94.06,0.03
CS,0.2,0.5,94.02,0.05
CS,0.2,0.6,93.96,0.06
CS,0.2,0.7,93.92,0.06
CS,0.2,0.8,93.87,0.05
CS,0.2,0.9,93.83,0.06
CS,0.2,1.0,93.79,0.05
CS,0.3,0.0,91.39,0.06
CS,0.3,0.1,93.65,0.07
CS,0.3,0.2,93.73,0.06
CS,0.3,0.3,93.69,0.06
CS,0.3,0.4,93.65,0.06
CS,0.3,0.5,93.57,0.07
CS,0.3,0.6,93.48,0.07
CS,0.3,0.7,93.43,0.07
CS,0.3,0.8,93.38,0.07
CS,0.3,0.9,93.33,0.07
CS,0.3,1.0,93.3,0.07
CS,0.4,0.0,91.06,0.07
CS,0.4,0.1,93.3,0.07
CS,0.4,0.2,93.39,0.06
CS,0.4,0.3,93.35,0.07
CS,0.4,0.4,93.24,0.07
CS,0.4,0.5,93.1,0.09
CS,0.4,0.6,93.0,0.09
CS,0.4,0.7,92.96,0.09
CS,0.4,0.8,92.94,0.1
CS,0.4,0.9,92.92,0.1
CS,0.4,1.0,92.89,0.09
CS,0.5,0.0,90.77,0.06
CS,0.5,0.1,92.92,0.07
CS,0.5,0.2,92.99,0.06
CS,0.5,0.3,92.95,0.07
CS,0.5,0.4,92.84,0.08
CS,0.5,0.5,92.77,0.08
CS,0.5,0.6,92.69,0.09
CS,0.5,0.7,92.64,0.09
CS,0.5,0.8,92.61,0.1
CS,0.5,0.9,92.6,0.09
CS,0.5,1.0,92.58,0.1
CS,0.6,0.0,90.5,0.1
CS,0.6,0.1,92.57,0.08
CS,0.6,0.2,92.62,0.09
CS,0.6,0.3,92.54,0.09
CS,0.6,0.4,92.45,0.09
CS,0.6,0.5,92.4,0.09
CS,0.6,0.6,92.35,0.09
CS,0.6,0.7,92.31,0.09
CS,0.6,0.8,92.28,0.09
CS,0.6,0.9,92.26,0.1
CS,0.6,1.0,92.23,0.1
CS,0.7,0.0,90.28,0.11
CS,0.7,0.1,92.19,0.09
CS,0.7,0.2,92.2,0.09
CS,0.7,0.3,92.13,0.09
CS,0.7,0.4,92.06,0.1
CS,0.7,0.5,91.99,0.09
CS,0.7,0.6,92.0,0.11
CS,0.7,0.7,91.98,0.11
CS,0.7,0.8,91.95,0.11
CS,0.7,0.9,91.94,0.11
CS,0.7,1.0,91.92,0.11
CS,0.8,0.0,89.98,0.1
CS,0.8,0.1,91.78,0.1
CS,0.8,0.2,91.81,0.09
CS,0.8,0.3,91.8,0.1
CS,0.8,0.4,91.79,0.12
CS,0.8,0.5,91.77,0.11
CS,0.8,0.6,91.76,0.11
CS,0.8,0.7,91.77,0.11
CS,0.8,0.8,91.76,0.11
CS,0.8,0.9,91.75,0.11
CS,0.8,1.0,91.77,0.11
CS,0.9,0.0,89.76,0.11
CS,0.9,0.1,91.41,0.1
CS,0.9,0.2,91.54,0.1
CS,0.9,0.3,91.55,0.11
CS,0.9,0.4,91.51,0.1
CS,0.9,0.5,91.57,0.11
CS,0.9,0.6,91.59,0.12
CS,0.9,0.7,91.6,0.12
CS,0.9,0.8,91.59,0.12
CS,0.9,0.9,91.59,0.11
CS,0.9,1.0,91.58,0.11
